PH,,,,,,,,,,,,,,,,,,
Ad category,High Performance Ad,Poor Performance Ad,High Performance Ad,,Poor Performance Ad,High Performance Ad,High Performance Ad,High Performance Ad,Poor Performance Ad,High Performance Ad,,,High Performance Ad,Poor Performance Ad,,Poor Performance Ad,,
Ad Name,PH_Allinonepos_P63_F2,PH_unboxingrestaurant_stopmotion_falcon_splitvideo_relaunch,PH_allinoneposphp63_d3_fnb_static_relaunch,PH_allinoneposphp63_fnb_logos_static,PH_productcentrictestimonial_static_v2,PH_Independenceday_P21000_promo,PH_comicpromo_v2_static,PH_Allinonepos_Fnb_F2,PH_90smgt_bluecalculator_static,PH_Independenceday_P63_promo,PH_allinoneposphp63_fnb_logos_static_relaunch,PH_StressToSuccess_static,PH_no1possystemsimple_static_relaunch,PH_NationalHeroesDay,PH_Reworked/No1possystem_Static_Eng,PH_ProductTestimonial_2_D3,PH_howmuchisyourprofit_coffee_static,S2_PH_Halloween_Problems_Carousel_otp_1016
Ad Preview,,,,,,,,,,,,,,,,,,
Creative Link,https://www.facebook.com/100064348405518/posts/1198900165598252/,https://www.facebook.com/100064348405518/posts/1175414781280124/,https://www.facebook.com/100064348405518/posts/1175401407948128/,https://www.facebook.com/100064348405518/posts/1105093931645543/,https://www.facebook.com/100064348405518/posts/1141639157991020/?dco_ad_token=AaqpIyaZMRt6-3HfEQ20DusEypap9c6HygRRaAFYTycPQGffU7Q1s385aGeCkylBzuzAAy2rbw&dco_ad_id=6790675148965,PH_Independenceday_P21000_promo,https://www.facebook.com/100064348405518/posts/1125850426236560/?dco_ad_token=AarjdBGLisB2AGp_ZDzbuL6DJd8yD7MaNONqJGGZsBjrEfi1aCDyYV2NTqtxlch89YAcd7dcow&dco_ad_id=6775426697965,https://www.facebook.com/100064348405518/posts/1192819276206341/,https://www.facebook.com/100064348405518/posts/1152331223588480/,https://www.facebook.com/100064348405518/posts/1141910231297246/?dco_ad_token=Aapgkc-Sf6YsMtbhC0-7lgzYt-6A8FvQXTVgKXUu37dgJbzNEnTEZnZZzzHJvFTfiBQX_GoVOA&dco_ad_id=6790872065965,,,https://www.facebook.com/100064348405518/posts/1179834984171437/?dco_ad_token=Aaqg5WkueiH120f06Luqx7zZq0l025BZOV72pOVLd7ejTcsXdsuVXY91kk7JxA7gs5L8f_OhAA&dco_ad_id=6825584869765,https://www.facebook.com/100064348405518/posts/1203960408425561/,,https://www.facebook.com/100064348405518/posts/1198870722267863/,,https://www.facebook.com/100064348405518/posts/1251019160386352/
Spend,"RM18,799","RM13,886","RM13,603","RM8,872","RM6,546","RM6,431","RM6,416","RM5,198","RM2,370","RM2,118","RM2,079","RM1,733","RM1,601","RM1,197",RM869,RM804,RM494,RM342
Leads,346,353,228,164,98,51,144,80,46,44,52,26,29,12,18,4,15,2
MQL,188,163,132,96,62,38,80,45,18,28,29,8,17,4,12,2,0,0
MQL%,54%,46%,58%,59%,63%,75%,56%,56%,39%,64%,56%,31%,59%,33%,67%,50%,0%,0%
SQL,72,44,50,21,15,22,24,18,3,7,7,0,9,1,2,1,1,0
SQL%,20.8%,12.5%,21.9%,12.8%,15.3%,43.1%,16.7%,22.5%,6.5%,15.9%,13.5%,0.0%,31.0%,8.3%,11.1%,25.0%,6.7%,0.0%
Won,6,1,6,3,1,3,4,3,0,2,3,0,1,0,0,0,0,0
