Ad name,Spend,Link Click,CPC,CTR,Avg. play time,Hold Rate,Hook Rate,Message Rate,ThruPlay,Leads,CPL,MQL,CPMQL,SQL,CPSQL,Won,CPWon
Allinonepos_Fnb,"RM8,817.8",435,RM20.3,2.79%,/,/,/,27.0%,/,109,RM81,77,RM115,49,RM180,14,RM630
Allinonepos_HW,"RM2,484.6",84,RM29.7,3.10%,/,/,/,20.9%,/,16,RM155,9,RM276,4,RM621,0,/
Allinonepos_P63,"RM58,414.0","2,521",RM23.2,3.20%,/,/,/,13.2%,/,917,RM64,573,RM102,299,RM195,19,"RM3,074"
Allinonepos_Xmas,"RM1,253.1",31,RM40.8,5.99%,/,/,/,2.4%,/,13,RM96,7,RM179,4,RM313,1,"RM1,253"
allinoneposphp63,"RM1,811.6",197,RM9.2,0.90%,/,/,/,10.3%,/,34,RM53,23,RM79,11,RM165,2,RM906
allinoneposphp63_fnb_logos,"RM1,524.5",622,RM2.5,0.30%,/,/,/,1.8%,/,35,RM44,27,RM56,12,RM127,1,"RM1,524"
BokKorean_VP3,"RM10,507.4",345,RM30.4,6.76%,43,12,297.6%,14.2%,109.0%,97,RM108,70,RM150,35,RM300,4,"RM2,627"
ChooseYourFighter_ D3,"RM14,205.5",351,RM40.5,4.87%,37,12,239.5%,10.9%,115.2%,159,RM89,109,RM130,56,RM254,7,"RM2,029"
ChooseYourFighter_ D3_BIR,"RM2,620.0",645,RM4.1,1.05%,6,2,32.9%,1.6%,18.5%,14,RM187,11,RM238,6,RM437,0,/
ChooseYourFighter_ D3_CP,RM573.3,134,RM4.3,1.00%,6,2,32.5%,3.4%,15.3%,3,RM191,3,RM191,1,RM573,0,/
ChooseYourFighter_ Falcon,"RM11,298.7",377,RM30.0,4.86%,30,11,168.4%,8.3%,117.8%,162,RM70,113,RM100,62,RM182,5,"RM2,260"
ChooseYourFighter_ Falcon_BIR,"RM5,813.2","1,649",RM3.5,1.05%,5,2,23.5%,3.8%,16.5%,49,RM119,43,RM135,19,RM306,3,"RM1,938"
ChooseYourFighter_ Falcon_CP,"RM3,882.8","1,138",RM3.4,1.05%,5,2,23.7%,2.5%,18.9%,30,RM129,24,RM162,18,RM216,0,/
comicpromo_v2,"RM3,150.3","1,053",RM3.0,0.36%,/,/,0.0%,4.0%,0.0%,71,RM44,42,RM75,16,RM197,1,"RM3,150"
CompositeInventory_BerMonth,RM37.0,3,RM11.0,1.41%,/,/,0.0%,33.3%,0.0%,0,/,0,/,0,/,0,/
Halloween_Problems,RM432.5,20,RM22.1,2.65%,19,7,42.5%,1.2%,14.9%,4,RM108,2,RM216,0,/,0,/
howmuchisyourprofit_coffee,RM859.9,162,RM5.3,2.53%,57,2,/,4.5%,/,21,RM41,16,RM54,6,RM143,1,RM860
howmuchisyourprofit_halohalo,"RM1,394.0",378,RM3.7,3.24%,13,2,/,1.0%,/,38,RM37,20,RM70,7,RM199,0,/
howmuchisyourprofit_sisig,RM36.1,40,RM0.9,1.87%,/,/,/,0.0%,/,4,RM9,2,RM18,0,/,0,/
Independenceday_P21000_promo,RM912.9,420,RM2.2,0.20%,/,/,/,2.4%,/,2,RM456,2,RM456,1,RM913,0,/
MonthlyPromo,"RM9,278.5",333,RM27.9,2.82%,/,/,/,12.5%,/,73,RM127,54,RM172,33,RM281,5,"RM1,856"
no1possystemsimple_relaunch,RM396.7,258,RM1.5,0.39%,/,/,/,1.9%,/,2,RM198,2,RM198,1,RM397,0,/
PanicOrProfit_BerMonth,RM9.6,11,RM0.9,0.83%,/,/,/,0.0%,/,0,/,0,/,0,/,0,/
SalesReport,RM100.0,6,RM17.4,1.69%,/,/,/,0.0%,/,0,/,0,/,0,/,0,/
StressToSuccess,RM152.2,48,RM3.2,2.17%,/,/,/,0.0%,/,5,RM30,0,/,0,/,0,/
StressToSuccess_BIR,RM234.7,64,RM3.6,0.28%,/,/,/,2.7%,/,0,/,0,/,0,/,0,/
StressToSuccess_CP,RM110.3,30,RM3.7,0.35%,/,/,/,6.1%,/,0,/,0,/,0,/,0,/
StressToSuccess_mixed,RM7.8,8,RM1.0,0.98%,/,/,/,0.0%,/,0,/,0,/,0,/,0,/
SuperBundle,"RM1,594.2",59,RM26.8,2.46%,/,/,/,14.8%,/,12,RM133,6,RM266,2,RM797,0,/
unboxing_D3Pro_BIR,"RM9,738.9","3,187",RM3.1,1.05%,7,2,27.2%,3.4%,24.6%,82,RM119,54,RM180,28,RM348,4,"RM2,435"
unboxing_D3Pro_CP,"RM8,907.9","2,969",RM3.0,1.07%,8,2,26.4%,2.0%,18.6%,53,RM168,39,RM228,19,RM469,1,"RM8,908"
unboxing_D3Pro_otp,"RM31,562.1","1,944",RM16.2,3.76%,28,7,126.0%,9.6%,113.7%,457,RM69,318,RM99,157,RM201,11,"RM2,869"
unboxingrestaurant_stopmotion_falcon,"RM37,143.4","3,098",RM12.0,1.69%,11,4,60.1%,5.2%,76.1%,779,RM48,487,RM76,237,RM157,15,"RM2,476"
