Ad name,Spend,Link Click,CPC,CTR,Avg. play time,Hold Rate,Message Rate,ThruPlay,Leads,CPL,MQL,CPMQL,SQL,CPSQL,Won,CPWon
S2_TH-Choose-your-fighter,RM373.9,46,RM8.1,49%,5,0%,4%,0%,1,RM374,0,/,0,/,0,/
S2-60sec_HW-BO_V2,"RM4,955.9",340,RM14.6,123%,9,68%,3%,20%,33,RM150,15,RM330,1,"RM4,956",0,/
S2-FnB_Ads_V1,RM764.4,164,RM4.7,123%,6,40%,7%,19%,15,RM51,8,RM96,0,/,0,/
S2-FnB_Ads_V2,RM152.0,42,RM3.6,114%,6,33%,0%,8%,1,RM152,1,RM152,0,/,0,/
S2-Kidzooona_VP_A,RM255.3,14,RM18.2,132%,6,54%,15%,14%,/,/,/,/,/,/,0,/
S2-Lookin_V1_Self-Create,RM954.4,51,RM18.7,95%,4,48%,36%,13%,6,RM159,5,RM191,0,/,0,/
S2-Lookin_V1_Self-Create_B-template,RM329.8,9,RM36.9,84%,6,44%,9%,12%,10,RM33,9,RM37,1,RM330,0,/
S2-MYOffice_V2,"RM6,530.4",343,RM19.0,205%,11,93%,8%,32%,55,RM119,31,RM211,3,"RM2,177",0,/
S2-NotCheapest_VDO,RM200.0,28,RM7.1,78%,2,31%,11%,7%,1,RM200,1,RM200,0,/,0,/
S2-Openshopwith_StoreHub_Thumnail-A,RM756.5,60,RM12.5,139%,8,47%,2%,11%,4,RM189,4,RM189,1,RM756,0,/
S2-Static_9.9k_Promo_Feb25,RM143.9,19,RM7.6,61%,/,/,11%,/,1,RM144,0,/,/,/,0,/
S2-Unisee_VP_A,RM93.4,3,RM37.2,71%,6,41%,0%,10%,1,RM93,1,RM93,0,/,0,/
S2-VP_GiftMedogV1_3reason_VDO,"RM2,775.2",301,RM9.2,64%,4,37%,7%,24%,17,RM163,11,RM252,1,"RM2,775",0,/
S2-VP_GiftMedogV2_testimonial,"RM1,408.2",194,RM7.3,75%,5,49%,4%,33%,10,RM141,4,RM352,0,/,0,/
