MY,,,,,,,,,,,,,,,,,,,,,,,
Ad Name,MS_D3 Mini Unboxing_Generic_Video,CN_Raya Promo_Generic68XXXXX_X,EN_D3 Mini Unboxing_FnB_Restaurant_Video,CN_Merdeka Promo_Generic_X,CN_D3 Mini Unboxing_Generic_Video,EN_Cost Comparison V2_GenericStaticX_X,MS_BAU Promo_Generic,MS_Merdeka D3 Mini Split Screen_Generic_Video,EN_Merdeka Promo_Generic_Video,EN_Merdeka D3 Mini Promo Split Screen_Generic_Video,MS% Promo V2_GenericGIF83,EN_Choose Your Fighter + AI Intro + Speech_FnB_Restaurant_VideoXXX,Falcon2 Unboxing_FnB_Video,EN_Unboxing_FnB_Restaurant_VideoXXX,"EN_Comic Promo, Johor_GenericStatic83",CN_Merdeka D3 Mini Split Screen_Generic_Video,"MS_Comic Promo, Johor_GenericStatic83","MS_Comic Promo, Selangor_GenericStatic83",CN_Cost Comparison V1_GenericStaticX_X,EN_Split Screen Unboxing + Features_FnB_Restaurant_Video,"EN_Comic Promo, KL_GenericStatic83",EN_Cost Comparison V3_GenericStatic,MS_This or That V2_Generic_Generic_Static
Ad Preview,,,,,,,,,,,,,,,,,,,,,,,
Creative Link,https://www.facebook.com/100064356922993/posts/1140047988150421/?dco_ad_token=AaoMZn2l5PxYne8GEVQ6WGCvI5rIZ6w39CxVO4tTyA1OjOI7coEQPVHcEyNmyylQNpxcJqn3kA&dco_ad_id=6817224982165,https://www.facebook.com/100064356922993/posts/1063727725782448/?dco_ad_token=Aar0fzMVZys0RksvvB-vglWQcsfgJjCBmPpAapbsjADwLAw67iYSCKJM2H8Mt0EwQhx15svZDg&dco_ad_id=6640495834565,https://www.facebook.com/100064356922993/posts/1153158590172694/?dco_ad_token=AarCnB73lIK2j7ubbWSREDmUkSsD0eKEI32zswmWT3zoIN_1eZLPwQ7lh8c4ztOYu_HXCvDsCg&dco_ad_id=6819158878365,https://www.facebook.com/100064356922993/posts/1177276541094232/?dco_ad_token=AapVh0bFlDfoZn_I00kqCVIKTzKuyar6vXbDIxCLVt8SKSivMRS6idXbXtF_SjmGvfZ5ef6Pmw&dco_ad_id=6840482964765,https://www.facebook.com/100064356922993/posts/1207960151359204/?dco_ad_token=AaomJHOOWqCOmJZfDQ3eXRh5NOhdSGDtUdk6WcaCk4RMZ11pyHGYSEG1CKCecWXxrQy2QV5fmQ&dco_ad_id=6819920902765,https://www.facebook.com/100064356922993/posts/1014628060692415/?dco_ad_token=AapYgNFFtxpd7RLSCI80Fdf21bWZP4s5-LBEcutPBdnLMsASd0Z-BJ3Xe7MIwu6a_BPzjOYrpw&dco_ad_id=6653039381365,https://www.facebook.com/100064356922993/posts/1221203233368229/?dco_ad_token=AaojyxgqOSH__GgFv1fWt2O8Pw40e7BRxZlIro4DecPvjzQE-Etpbbg73DaiRQ_RQfVdlYwf2w&dco_ad_id=6823824016765,https://www.facebook.com/100064356922993/posts/1177091071112779/,https://www.facebook.com/100064356922993/posts/1177232787765274/?dco_ad_token=AaqYdN52VQdin_XUch-V1FxpXrZdybYO1YyhPZ4ci3ZxzwskMWgtKrNL9YGRVnbUpcdMbtEzdA&dco_ad_id=6823508321765,https://www.facebook.com/100064356922993/posts/1177089644446255/,https://www.facebook.com/100064356922993/posts/1226337546188131/?dco_ad_token=Aaqw6nKeyNbwceMM8JW4zHmoA67imucukEXcBJGrglX6hdwHlPMwodyjZq_q27A072qQ-ixb9w&dco_ad_id=6866270400965,https://www.facebook.com/100064356922993/posts/1122343919920828/,https://www.facebook.com/100064356922993/posts/1218238696998016/?dco_ad_token=Aaol6QyaA-74A7LTwM920dRvoXjOzSqUlkIocLVW0QIfjY3gbC2P4h0N5N3TpHQYLBFEkh3R8Q&dco_ad_id=6862315816165,https://www.facebook.com/100064356922993/posts/1035459901942564/?dco_ad_token=AapyONfzdAzwKE35YD4Ly7gDhpcDJllrW9xD-XQw1kRZFHvYu6l-iNY1X1miEwx5KdsCoMItkA&dco_ad_id=6798351162965,,https://www.facebook.com/100064356922993/posts/1177092557779297/,https://www.facebook.com/100064356922993/posts/1226372309517988/?dco_ad_token=AapjewbqJwDZ9JDGlH-i6IwhEHBoG-0VSzg6-R8mwgkT6h1Hfcw-3YYSAJ-b-6tu-MmH2Yrveg&dco_ad_id=6866326704565,https://www.facebook.com/100064356922993/posts/1226372309517988/?dco_ad_token=AapjewbqJwDZ9JDGlH-i6IwhEHBoG-0VSzg6-R8mwgkT6h1Hfcw-3YYSAJ-b-6tu-MmH2Yrveg&dco_ad_id=6866326704565,https://www.facebook.com/100064356922993/posts/1220205016801384/,https://www.facebook.com/100064356922993/posts/1026955642792990/,https://www.facebook.com/100064356922993/posts/1121699863318567/?dco_ad_token=AaqXRKXcWKfY3tMW1cia3Ufc5IgTKOMeavvzFFtxYOSEhf-d_FdRr4jEQpJw5qK23L4OOkeKwg&dco_ad_id=6800127801765,https://www.facebook.com/100064356922993/posts/1154820826673137/,https://www.facebook.com/100064356922993/posts/1140059181482635/
Spend,"RM28,475","RM17,848","RM17,470","RM15,777","RM15,667","RM14,730","RM13,032","RM12,935","RM12,386","RM12,112","RM9,718","RM9,684","RM9,269","RM6,410","RM5,895","RM5,119","RM4,580","RM4,325","RM4,130","RM3,312","RM3,273","RM2,122","RM1,371"
Leads,430,104,104,85,126,70,0,185,144,93,112,72,44,41,22,26,42,66,44,0,31,22,22
MQL,332,95,89,80,114,68,0,155,135,82,103,64,41,37,22,22,36,50,41,0,30,18,17
MQL%,77%,91%,86%,94%,90%,97%,#DIV/0!,84%,94%,88%,92%,89%,93%,90%,100%,85%,86%,76%,93%,#DIV/0!,97%,82%,77%
SQL,56,35,17,27,20,20,0,29,49,24,29,12,5,15,11,5,11,13,12,0,13,7,4
SQL%,13.02%,33.65%,16.35%,31.76%,15.87%,28.57%,#DIV/0!,15.68%,34.03%,25.81%,25.89%,16.67%,11.36%,36.59%,50.00%,19.23%,26.19%,19.70%,27.27%,#DIV/0!,41.94%,31.82%,18.18%
Won,10,7,4,6,1,4,0,5,14,6,7,0,1,7,3,1,3,3,3,0,2,3,1
