TH,,,,,,
Static,,,,,,
Ad Name,MyOffice_V2,60sec_HW-BO,GiftMedogV2,Lookin_V1_Self-Create,Openshopwith_StoreHub,VP_GiftMedogV1_3reason
Ad Preview,,,,,,
Creative Link,https://www.facebook.com/100064747598943/posts/1132301968938046/?dco_ad_token=AaqM-QFuoCD4rbbOi3CafYXlnPrKf5h3K7xxXCtjIjEYzfapZVnD8IsAJU27Xh79r1oNxpXjxg&dco_ad_id=6725757245365,https://www.facebook.com/100064747598943/posts/1131745462327030/?dco_ad_token=AapBqwRTVP1OBfmq6nrxj3Kd3xLqhkUSVuevnz96I1CHdGQvJBZZUfZSskEa-OiGKl_kKzq0zw&dco_ad_id=6622278444365,,,https://www.facebook.com/100064747598943/posts/1131745492327027/?dco_ad_token=AarO2Jvkj8l_Vz0bN4jPoSY5dLjEO8LHFhmBE0__Me6iDzhy4ickGh69GBi4TY6tqY4cyXPSGQ&dco_ad_id=6621308731165,https://www.facebook.com/100064747598943/posts/1119861623515414/?dco_ad_token=AaoQnKGfyPRTHcASaZTp5TMkNWBqdR1kJOj3Fjv6AwYeL0kiiJ9F3b5XlkuGu9wP1jHmMKipkA&dco_ad_id=6615415131165
Spend,"RM5,640","RM2,066",RM678,"RM4,357","RM2,635","RM3,552"
Leads,46,22,2,32,17,20
MQL,25,13,2,19,8,15
SQL,7,0,0,3,1,2
SQL%,15.2%,0.0%,0.0%,9.4%,5.9%,10.0%
MQL%,54%,59%,100%,59%,47%,75%
Won,0,0,0,0,0,1
CPL,RM123,RM94,RM339,RM136,RM155,RM178
CPMQL,RM226,RM159,RM339,RM229,RM329,RM237
CPSQL,RM806,#DIV/0!,#DIV/0!,"RM1,452","RM2,635","RM1,776"
CPWon,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,"RM3,552"
,,,,,,
CTR%,1.60%,0.67%,0.54%,0.58%,0.65%,0.75%
Video avg play time,4 secs,3 secs,3 secs,3 secs,8 secs,4 secs
Hold %,0.29%,0.34%,0.21%,0.24%,0.56%,0.25%
Hook %,0.16%,0.14%,0.16%,0.15%,0.50%,0.18%
Message %,0.05%,0.04%,0.07%,0.04%,0.03%,0.07%
ThruPlay %,0.09%,0.09%,0.07%,0.07%,0.44%,0.08%
,,,,,,
Justification,High spend i.e scalability,,,,"High engagement
High avg play time.
High hold %
High hook %
High ThruPlay %",
Learning,,,,,"The blooper as a hook might be driving exceptionally high video engagement, play time, and keeping users to watch the video.
High paced
Can see the new hardware
Can SEE Krit
Caption mentions free trial",
,,,,,,
,,,,,,
,,,,,,
,MyOffice_V2 VS Openshopwith_StoreHub,,,,,
