Ad name,Spend,Link Click,CPC,CTR,Avg. play time,Hold Rate,Hook Rate,Message Rate,ThruPlay,Leads,CPL,MQL,CPMQL,SQL,CPSQL,Won,CPWon
Falcon Choose Your Fighter,"RM28,680","5,538",RM45.3,3.95%,9,9.00,127.1%,2.3%,113.9%,172,RM167,158,RM182,41,RM700,6,"RM4,780"
D3 Pro Unboxing + SetUp,"RM10,305","1,562",RM37.4,3.71%,7,7.00,106.7%,55.6%,68.6%,61,RM169,57,RM181,15,RM687,5,"RM2,061"
Year End Promo,RM766,88,RM99.9,3.12%,10,10.00,0.0%,0.0%,0.0%,4,RM192,3,RM255,1,RM766,0,#DIV/0!
Monthly Plan D3 Pro V1,"RM20,392","2,519",RM61.7,2.95%,9,9.00,0.0%,10.6%,0.0%,71,RM287,57,RM358,25,RM816,3,"RM6,797"
D3 Mini Unboxing,"RM7,361","1,482",RM25.4,2.92%,6,6.00,96.4%,4.8%,42.7%,66,RM112,54,RM136,7,"RM1,052",2,"RM3,681"
Back Alley Pasta VP2,"RM3,655",800,RM16.8,2.84%,5,5.00,81.4%,1.3%,36.0%,12,RM305,10,RM366,2,"RM1,828",0,#DIV/0!
Falcon 2 Unboxing,RM986,177,RM28.6,2.82%,6,6.00,89.6%,8.9%,48.2%,1,RM986,1,RM986,0,#DIV/0!,0,#DIV/0!
All-in-One Christmas Promo,"RM2,425",#DIV/0!,RM38.2,2.77%,8,8.00,0.0%,0.0%,0.0%,11,RM220,9,RM269,4,RM606,1,"RM2,425"
Back Alley Pasta VP1 Testimonial,"RM2,149",949,RM14.1,2.67%,5,5.00,0.0%,0.4%,0.0%,8,RM269,7,RM307,3,RM716,2,"RM1,075"
Christmas - Easiest Night,RM109,14,RM42.3,2.54%,4,3.00,0.0%,50.0%,0.0%,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!
BAU D3 Mini Split Screen,"RM25,297","3,731",RM37.4,2.38%,6,6.00,58.0%,3.0%,51.1%,219,RM116,195,RM130,52,RM486,11,"RM2,300"
D3 Choose Your Fighter,"RM2,883",626,RM25.6,2.26%,6,6.00,58.2%,1.1%,35.1%,61,RM47,55,RM52,15,RM192,4,RM721
Old vs New Christmas Promo,RM369,139,RM67.8,2.06%,7,7.00,0.0%,0.8%,0.0%,3,RM123,2,RM185,0,#DIV/0!,0,#DIV/0!
D3 Mini Split Screen BAU promo,"RM6,653","1,452",RM20.4,1.96%,5,5.00,46.7%,4.6%,34.7%,104,RM64,88,RM76,21,RM317,3,"RM2,218"
Should I Choose,"RM8,671","1,762",RM21.2,1.83%,5,5.00,0.0%,0.0%,0.0%,54,RM161,38,RM228,8,"RM1,084",0,#DIV/0!
Retail POS Sitting Zal,"RM2,643",441,RM24.3,1.81%,5,5.00,41.8%,0.7%,47.3%,29,RM91,19,RM139,5,RM529,1,"RM2,643"
Choose Your Fighter,"RM1,271",260,RM44.6,1.67%,6,6.00,55.6%,0.5%,22.7%,14,RM91,7,RM182,1,"RM1,271",0,#DIV/0!
Coffeeboy VP2,"RM3,593",586,RM18.1,1.48%,4,4.00,61.1%,0.3%,21.3%,18,RM200,18,RM200,7,RM513,2,"RM1,797"
KDS V1a,"RM1,090",229,RM16.1,1.47%,4,4.00,0.0%,0.0%,0.0%,8,RM136,8,RM136,3,RM363,0,#DIV/0!
Store Owner,"RM15,345","2,767",RM22.8,1.42%,5,5.00,0.0%,0.2%,0.0%,157,RM98,105,RM146,27,RM568,6,"RM2,557"
Merdeka D3 Mini Split Screen,"RM1,108",148,RM19.9,1.40%,4,4.00,34.8%,0.0%,26.3%,3,RM369,3,RM369,2,RM554,1,"RM1,108"
Andrea POS FnB Standing,"RM1,189",186,RM12.8,1.28%,3,3.00,26.4%,0.0%,24.7%,33,RM36,27,RM44,9,RM132,0,#DIV/0!
How Fast Can You,RM224,18,RM31.5,1.16%,3,3.00,0.0%,0.0%,0.0%,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!
55% Promo V2,"RM22,643","2,603",RM25.4,1.13%,4,4.00,25.7%,1.3%,124.2%,215,RM105,181,RM125,72,RM314,16,"RM1,415"
BAU Promos V2,"RM10,740","1,663",RM16.3,1.10%,4,4.00,0.0%,3.0%,0.0%,74,RM145,70,RM153,22,RM488,6,"RM1,790"
Offline Mode,RM795,116,RM17.5,1.04%,4,4.00,0.0%,4.2%,0.0%,2,RM398,2,RM398,1,RM795,0,#DIV/0!
D3 Mini Unboxing Split Screen,RM922,118,RM17.5,0.96%,2,2.00,17.6%,4.1%,7.2%,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!
Starter Pack,"RM1,797",275,RM13.0,0.94%,3,3.00,30.4%,0.0%,20.9%,4,RM449,3,RM599,1,"RM1,797",0,#DIV/0!
Merdeka D3 Mini Promo Split Screen,"RM9,524","1,182",RM16.6,0.85%,3,3.00,24.5%,1.4%,40.7%,70,RM136,60,RM159,17,RM560,2,"RM4,762"
Composite Inventory,RM75,11,RM22.0,0.84%,2,2.00,0.0%,0.0%,0.0%,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!
55% Newspaper Promo,"RM2,651",385,RM13.7,0.81%,3,3.00,0.0%,0.5%,0.0%,26,RM102,22,RM121,4,RM663,0,#DIV/0!
"Comic Promo, East Malaysia","RM5,888",927,RM12.7,0.78%,3,3.00,0.0%,0.6%,0.0%,39,RM151,35,RM168,11,RM535,3,"RM1,963"
BAU Promo,"RM62,988","9,451",RM13.2,0.78%,3,3.00,17.5%,1.1%,18.6%,979,RM64,854,RM74,238,RM265,36,"RM1,750"
Merdeka Promo,"RM6,363",542,RM23.0,0.77%,3,3.00,4.6%,2.2%,9.8%,93,RM68,76,RM84,10,RM636,4,"RM1,591"
Halloween Promo V4,RM22,4,RM5.5,0.73%,2,1.00,0.0%,0.0%,0.0%,1,RM22,1,RM22,0,#DIV/0!,0,#DIV/0!
Winning Combo,"RM3,240",312,RM20.3,0.71%,2,2.00,21.2%,0.4%,32.5%,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!
Futureproof V1,"RM1,235",125,RM18.3,0.71%,3,3.00,0.0%,0.0%,0.0%,6,RM206,5,RM247,1,"RM1,235",0,#DIV/0!
That Last Slice VP4,"RM1,461",227,RM6.4,0.71%,2,2.00,27.0%,0.0%,10.0%,5,RM292,5,RM292,1,"RM1,461",0,#DIV/0!
Retail Business Types - Electronic Stores,RM256,34,RM15.1,0.69%,3,3.00,0.0%,0.0%,0.0%,1,RM256,1,RM256,0,#DIV/0!,0,#DIV/0!
Arissa Dotlines VP1,"RM5,120","1,330",RM3.8,0.67%,2,2.00,19.6%,0.3%,10.3%,77,RM66,52,RM98,11,RM465,2,"RM2,560"
That Last Slice VP2 Testimonial,RM101,17,RM6.0,0.65%,1,1.00,0.0%,0.0%,0.0%,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!
Sate Rono VP3,RM347,102,RM3.4,0.64%,2,2.00,26.4%,2.0%,6.9%,8,RM43,4,RM87,1,RM347,0,#DIV/0!
That Last Slice VP1,RM162,23,RM7.1,0.63%,1,1.00,21.5%,0.0%,7.6%,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!
PG&H Dotlines VP3,RM39,8,RM4.9,0.61%,1,1.00,17.8%,0.0%,3.4%,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!
Cost Comparison V3,"RM3,502",352,RM19.0,0.61%,3,3.00,0.0%,0.0%,0.0%,10,RM350,9,RM389,2,"RM1,751",0,#DIV/0!
